security_code,security_name,entry_date,exit_date,holding_days,buys,sells,invested,proceeds,dividends,return_pct,max_drawdown_in_cycle,max_money_drawdown,entry_stop,entry_stop_ma,entry_pv_ratio,entry_upside,entry_intrinsic_value,entry_band_low,entry_band_high,exit_reason
601328,,2025-11-13,2025-12-09,26,2,1,1504.00,1490.00,0.00,-0.009309,0.038860,0.047807,7.1828,60,0.7461,0.3404,9.9858,9.4855,10.4861,换仓：让位给空间更大的000651
000338,潍柴动力,2025-12-01,2026-03-12,101,2,1,4112.00,5040.00,0.00,0.225681,0.137577,0.215948,15.1883,60,0.6711,0.4849,25.7923,24.5001,27.0845,换仓：让位给空间更大的601838
002839,,2025-12-03,2025-12-17,14,1,1,480.00,457.00,0.00,-0.047917,0.045929,0.045929,4.4555,60,0.9142,0.0847,5.2067,4.9458,5.4676,换仓：让位给空间更大的000651
600970,中材国际,2025-12-03,2026-05-12,160,24,1,18283296.00,15537648.00,0.00,-0.150172,0.197023,0.218693,9.2460,60,0.5103,0.9435,18.9681,18.0178,19.9184,跌破建仓日MA60止损
601988,,2026-01-06,2026-01-07,1,1,1,559.00,556.00,0.00,-0.005367,0.000000,0.000000,5.6384,60,0.8999,0.1271,6.3005,5.9848,6.6162,跌破建仓日MA60止损
002648,卫星化学,2026-01-13,2026-08-28,227,11,1,9298828.00,10922416.00,189100.00,0.174601,0.273246,0.336129,16.9237,60,0.5214,0.9199,34.9423,33.1917,36.6929,回测截止清算
000651,格力电器,2026-01-23,2026-01-26,3,1,1,1447081.00,1433869.00,0.00,-0.009130,0.000000,0.000000,39.5348,60,0.5649,0.8341,72.3177,68.6946,75.9408,跌破建仓日MA60止损
601665,,2026-02-25,2026-03-04,7,3,1,2855.00,2800.00,0.00,-0.019264,0.026087,0.026087,5.6224,60,0.8253,0.2202,6.9794,6.6297,7.3291,跌破建仓日MA60止损
601229,,2026-03-26,2026-04-07,12,4,1,3953.00,3864.00,0.00,-0.022515,0.027190,0.033354,9.7822,60,0.7407,0.3501,13.2440,12.5805,13.9075,跌破建仓日MA60止损
601665,,2026-03-30,2026-08-06,129,6,2,2363580.00,2437718.98,21652.98,0.031367,0.109568,0.114425,5.5009,60,0.8133,0.2318,7.0458,6.6928,7.3988,换仓：让位给空间更大的002807
603529,爱玛科技,2026-04-02,2026-04-08,6,3,1,1560642.00,1523097.00,0.00,-0.024057,0.024212,0.000000,29.8628,60,0.6867,0.4641,46.1334,43.8221,48.4447,跌破建仓日MA60止损
601825,,2026-04-03,2026-05-11,38,2,1,362185.00,342280.00,0.00,-0.054958,0.075269,0.075269,8.7145,60,0.8173,0.2369,11.3175,10.7505,11.8845,跌破建仓日MA60止损
000001,,2026-04-28,2026-05-18,20,6,1,6182698.00,5910012.00,0.00,-0.044105,0.057292,0.049083,10.9783,60,0.7288,0.3625,15.6139,14.8316,16.3962,跌破建仓日MA60止损
601658,,2026-04-29,2026-04-30,1,1,1,515.00,507.00,0.00,-0.015534,0.000000,0.000000,5.0810,60,0.9092,0.1105,5.7190,5.4325,6.0055,跌破建仓日MA60止损
601398,工商银行,2026-05-12,2026-05-20,8,3,1,3932183.00,3871353.51,29709.51,-0.015470,0.023288,0.019459,7.1684,60,0.9021,0.1070,8.2806,7.8657,8.6955,跌破建仓日MA60止损
000651,格力电器,2026-05-12,2026-05-28,16,6,1,6273932.00,5939584.00,0.00,-0.053292,0.060050,0.052826,38.0803,60,0.5140,0.9513,78.7138,74.7702,82.6574,跌破建仓日MA60止损
601963,,2026-05-18,2026-06-18,31,2,2,1909520.00,1892628.00,0.00,-0.008846,0.112837,0.091826,10.6003,60,0.8965,0.0920,11.9579,11.3588,12.5570,换仓：让位给空间更大的601166
601398,工商银行,2026-06-01,2026-06-18,17,1,1,1460.00,1432.00,0.00,-0.019178,0.079692,0.079692,7.2192,60,0.8630,0.1460,8.3661,7.9470,8.7852,跌破建仓日MA60止损
000651,格力电器,2026-06-03,2026-06-08,5,1,1,1362750.00,1314795.00,0.00,-0.035190,0.019805,0.019805,38.3967,60,0.5021,0.9928,78.7138,74.7702,82.6574,跌破建仓日MA60止损
300059,东方财富,2026-07-13,2026-07-14,1,1,1,226176.00,223440.00,0.00,-0.012097,0.000000,0.000000,19.8348,60,0.8326,0.2222,24.2493,23.0344,25.4642,跌破建仓日MA60止损
000651,格力电器,2026-08-04,2026-08-28,24,10,1,3730491.00,3782400.00,163200.00,0.013915,0.019179,0.019736,37.0538,60,0.5204,0.9426,78.7138,74.7702,82.6574,回测截止清算
600690,海尔智家,2026-08-10,2026-08-28,18,2,1,4390.00,4402.30,178.30,0.002802,0.023182,0.023182,20.0440,60,0.7565,0.3028,28.9880,27.5357,30.4403,回测截止清算
002128,电投能源,2026-08-20,2026-08-28,8,1,1,2692.00,2911.00,0.00,0.081352,0.026106,0.026106,26.5287,60,0.7455,0.3559,36.4996,34.6710,38.3282,回测截止清算
