snapshot,sample,arm,reference,metric,level,paired_delta,positive,n
原快照,全样本,SB1_BUY1,BASE,前三权重中位,1.5133649999999998,0.053803000000000045,14,14
原快照,全样本,SB1_BUY1,BASE,单票超60%天数占比,0.7828775,-0.011848999999999943,5,14
原快照,全样本,SB1_BUY1,BASE,滚动3年年化中位,0.457801,-0.020121500000000014,4,14
原快照,全样本,SB1_BUY1,BASE,滚动3年回撤中位,0.4399095,0.003711999999999993,11,14
原快照,全样本,SB1_BUY1,BASE,滚动3年Calmar中位,0.987222,-0.07329749999999996,2,14
原快照,全样本,SB1_BUY1,BASE,滚动3年Sharpe中位,0.9582765,-0.03646000000000005,6,14
原快照,全样本,SB1_BUY1,BASE,滚动3年为负的窗口占比,0.021749499999999998,0.0,3,14
原快照,全样本,SB1_BUY1,BASE,滚动5年年化中位,0.500449,0.0036279999999999923,8,14
原快照,全样本,SB1_BUY1,BASE,滚动5年年化P25,0.352141,-0.037407000000000024,4,14
原快照,全样本,SB1_BUY1,BASE,滚动5年年化最差,0.1207795,0.0034485,8,14
原快照,全样本,SB1_BUY1,BASE,滚动5年回撤中位,0.46236900000000003,-0.0005269999999999997,6,14
原快照,全样本,SB1_BUY1,BASE,滚动5年Calmar中位,1.0337015,-0.0021535000000000304,7,14
原快照,全样本,SB1_BUY1,BASE,滚动5年Sharpe中位,0.972369,0.039783999999999986,8,14
原快照,全样本,SB1_BUY1,BASE,滚动5年为负的窗口占比,0.0,0.0,1,14
原快照,全样本,SB1_BUY1,BASE,滚动5年窗口数,102.0,0.0,0,14
原快照,全样本,SB1_BUY1,BASE,互不重叠5年块中位,0.551743,-0.04996250000000002,4,14
原快照,全样本,SB1_BUY1,BASE,滚动10年年化中位,0.400817,-0.018096999999999974,5,14
原快照,全样本,SB1_BUY1,BASE,滚动10年窗口数,42.0,0.0,0,14
原快照,全样本,SB1_BUY1,BASE,逐年收益中位,0.3135595,-0.07808899999999999,2,14
原快照,全样本,SB1_BUY1,BASE,逐年为正比例,0.769231,0.0,1,14
原快照,全样本,SB1_BUY1,BASE,逐年最差,-0.218704,0.005118000000000011,8,14
原快照,全样本,SB1_BUY1,BASE,完整自然年数,12.5,0.0,0,14
原快照,全样本,SB1_BUY1,SB1,年化,0.396929,-0.038812999999999986,4,14
原快照,全样本,SB1_BUY1,SB1,最大回撤,0.678926,-0.02118150000000002,2,14
原快照,全样本,SB1_BUY1,SB1,Sharpe,0.768594,-0.0547725,4,14
原快照,全样本,SB1_BUY1,SB1,Calmar,0.5524255,-0.02090049999999999,4,14
原快照,全样本,SB1_BUY1,SB1,平均仓位,1.58966,-0.058284000000000113,0,14
原快照,全样本,SB1_BUY1,SB1,年均换手,7.4917425,0.42708650000000015,11,14
原快照,全样本,SB1_BUY1,SB1,持仓数中位,5.0,-1.0,0,14
原快照,全样本,SB1_BUY1,SB1,单票权重中位,0.641455,-0.008494000000000002,2,14
原快照,全样本,SB1_BUY1,SB1,单票权重P90,0.8706430000000001,-0.03619450000000002,3,14
原快照,全样本,SB1_BUY1,SB1,单票权重最大,1.0692650000000001,-0.07250350000000005,2,14
原快照,全样本,SB1_BUY1,SB1,前三权重中位,1.5133649999999998,0.04071400000000003,13,14
原快照,全样本,SB1_BUY1,SB1,单票超60%天数占比,0.7828775,-0.02009050000000001,4,14
原快照,全样本,SB1_BUY1,SB1,滚动3年年化中位,0.457801,-0.032913000000000026,5,14
原快照,全样本,SB1_BUY1,SB1,滚动3年回撤中位,0.4399095,0.0040070000000000106,9,14
原快照,全样本,SB1_BUY1,SB1,滚动3年Calmar中位,0.987222,-0.07285000000000003,2,14
原快照,全样本,SB1_BUY1,SB1,滚动3年Sharpe中位,0.9582765,-0.040363999999999955,5,14
原快照,全样本,SB1_BUY1,SB1,滚动3年为负的窗口占比,0.021749499999999998,0.0,4,14
原快照,全样本,SB1_BUY1,SB1,滚动5年年化中位,0.500449,-0.0517715,6,14
