date,net_equity,cash,positions,cash_ratio,debt,margin_ratio,top1_weight,top3_weight
2017-05-12,6738384.27,0.00,5,0.0000,4577459.73,2.4721,0.6576,1.5423
2017-05-15,6896687.46,0.00,5,0.0000,4578776.54,2.5062,0.6495,1.5262
2017-05-16,6998112.40,0.00,5,0.0000,4579215.60,2.5282,0.6430,1.5177
2017-05-17,6872156.30,0.00,5,0.0000,4579654.70,2.5006,0.6448,1.5277
2017-05-18,6803171.15,0.00,5,0.0000,4580093.85,2.4854,0.6451,1.5322
2017-05-19,6881551.97,0.00,5,0.0000,4580533.03,2.5023,0.6445,1.5264
2017-05-22,7013330.28,0.00,5,0.0000,4581850.72,2.5307,0.6462,1.5152
2017-05-23,7202668.92,0.00,5,0.0000,4582290.08,2.5718,0.6434,1.4997
2017-05-24,7195273.53,0.00,5,0.0000,4582729.47,2.5701,0.6478,1.5021
2017-05-25,7299024.09,0.00,5,0.0000,4583168.91,2.5926,0.6492,1.4946
2017-05-26,7403883.61,0.00,5,0.0000,4583608.39,2.6153,0.6433,1.4870
2017-05-31,7378571.98,0.00,5,0.0000,4585806.02,2.6090,0.6416,1.4878
2017-06-01,7428554.25,0.00,5,0.0000,4586245.75,2.6197,0.6462,1.4835
2017-06-02,7535751.47,0.00,5,0.0000,4586685.53,2.6430,0.6537,1.4776
2017-06-05,7505773.88,0.00,5,0.0000,4601318.12,2.6312,0.6563,1.4819
2017-06-06,7603455.86,0.00,5,0.0000,4690845.14,2.6209,0.6479,1.4870
2017-06-07,7690714.05,0.00,5,0.0000,4691294.95,2.6394,0.6405,1.4793
2017-06-08,7929681.06,0.00,5,0.0000,4706249.94,2.6849,0.6281,1.4658
2017-06-09,7930971.78,0.00,5,0.0000,4706701.22,2.6850,0.6244,1.4651
2017-06-12,8172629.79,0.00,5,0.0000,4708055.21,2.7359,0.6316,1.4512
2017-06-13,8143928.34,0.00,5,0.0000,4708506.66,2.7296,0.6301,1.4528
2017-06-14,7953862.16,0.00,5,0.0000,5106002.84,2.5577,0.6293,1.4686
2017-06-15,7962164.11,0.00,5,0.0000,5301369.89,2.5019,0.6306,1.4686
2017-06-16,7849564.76,0.00,5,0.0000,5301878.24,2.4805,0.6300,1.4775
2017-06-19,8087071.52,0.00,5,0.0000,5385624.48,2.5016,0.6339,1.4625
2017-06-20,8100915.01,0.00,5,0.0000,5394581.99,2.5017,0.6328,1.4617
2017-06-21,8311475.00,0.00,5,0.0000,5535243.00,2.5016,0.6371,1.4477
2017-06-22,8338870.06,0.00,5,0.0000,5552578.94,2.5018,0.6363,1.4477
2017-06-23,8588790.38,0.00,5,0.0000,5720116.62,2.5015,0.6401,1.4496
2017-06-26,8823792.90,0.00,5,0.0000,5875991.10,2.5017,0.6328,1.4434
2017-06-27,8938458.14,0.00,5,0.0000,5952092.86,2.5017,0.6369,1.4439
2017-06-28,8798975.39,0.00,5,0.0000,5952663.61,2.4782,0.6302,1.4503
2017-06-29,8942688.57,0.00,5,0.0000,5955507.43,2.5016,0.6223,1.4422
2017-06-30,9028976.24,0.00,5,0.0000,6012909.76,2.5016,0.6265,1.4455
2017-07-03,8900476.50,0.00,5,0.0000,6014639.50,2.4798,0.6251,1.4555
2017-07-04,8845877.75,0.00,5,0.0000,6015216.25,2.4706,0.6193,1.4550
2017-07-05,9018635.98,624.17,5,0.0001,6006432.19,2.5015,0.5981,1.4437
2017-07-06,9094175.52,0.00,5,0.0000,6056197.48,2.5016,0.5923,1.4357
2017-07-07,9050338.79,0.00,5,0.0000,6056778.21,2.4942,0.5831,1.4400
2017-07-10,9238318.13,0.00,5,0.0000,6150520.87,2.5020,0.5809,1.4412
2017-07-11,9472864.20,0.00,5,0.0000,6307103.80,2.5019,0.6024,1.4571
2017-07-12,9312965.41,0.00,5,0.0000,6307708.59,2.4764,0.6018,1.4655
2017-07-13,9451888.56,0.00,5,0.0000,6308058.44,2.4984,0.5962,1.4493
2017-07-14,9506587.46,0.00,5,0.0000,6329656.54,2.5019,0.5937,1.4482
2017-07-17,9509007.60,0.00,5,0.0000,6331477.40,2.5019,0.5933,1.4467
2017-07-18,9418620.48,0.00,5,0.0000,6332084.52,2.4874,0.5869,1.4531
2017-07-19,9599241.84,0.00,5,0.0000,6391354.16,2.5019,0.5724,1.4407
2017-07-20,9714780.38,-6.17,5,-0.0000,6470049.45,2.5015,0.5804,1.4459
2017-07-21,9669474.91,1915.57,5,0.0002,6439873.66,2.5015,0.5785,1.4501
2017-07-24,9664544.35,0.00,5,0.0000,6439810.65,2.5007,0.5872,1.4503
2017-07-25,9560570.83,0.00,5,0.0000,6440428.17,2.4845,0.5895,1.4596
2017-07-26,9383304.26,0.00,5,0.0000,6441045.74,2.4568,0.5857,1.4732
2017-07-27,9246936.42,1173.34,5,0.0001,6158658.92,2.5015,0.5327,1.4495
2017-07-28,9374142.67,0.00,5,0.0000,6241665.33,2.5019,0.5302,1.4472
2017-07-31,9457041.25,0.00,5,0.0000,6296860.75,2.5019,0.5212,1.4421
2017-08-01,9543174.16,0.00,5,0.0000,6354533.84,2.5018,0.5167,1.4442
2017-08-02,9394153.82,0.00,5,0.0000,6355143.18,2.4782,0.5244,1.4519
2017-08-03,9250891.43,0.00,5,0.0000,6355752.57,2.4555,0.5325,1.4544
2017-08-04,9119289.97,0.00,5,0.0000,6356362.03,2.4347,0.5402,1.4647
2017-08-07,9251742.43,0.00,5,0.0000,6358190.57,2.4551,0.5324,1.4586
2017-08-08,9252787.74,0.00,5,0.0000,6358800.26,2.4551,0.5324,1.4596
2017-08-09,9364244.99,0.00,5,0.0000,6359410.01,2.4725,0.5261,1.4513
2017-08-10,9382412.19,0.00,5,0.0000,6360019.81,2.4752,0.5250,1.4553
2017-08-11,9100891.32,0.00,5,0.0000,6360629.68,2.4308,0.5413,1.4790
2017-08-14,9222129.55,0.00,5,0.0000,6362459.45,2.4495,0.5342,1.4684
2017-08-15,9100313.45,0.00,5,0.0000,6363069.55,2.4302,0.5413,1.4754
2017-08-16,8964067.29,0.00,5,0.0000,6363679.71,2.4086,0.5495,1.4850
2017-08-17,9033283.08,0.00,5,0.0000,6364289.92,2.4194,0.5453,1.4793
2017-08-18,9083919.80,0.00,5,0.0000,6364900.20,2.4272,0.5423,1.4744
2017-08-21,9262521.81,0.00,5,0.0000,6366731.19,2.4548,0.5318,1.4622
2017-08-22,9313861.30,0.00,5,0.0000,6367341.70,2.4628,0.5289,1.4601
2017-08-23,9275204.73,0.00,5,0.0000,6367952.27,2.4565,0.5311,1.4646
