date,net_equity,cash,positions,cash_ratio,debt,margin_ratio,top1_weight,top3_weight
2024-11-20,345747089.08,0.00,8,0.0000,230267553.92,2.5015,0.6583,1.4476
2024-11-21,351732817.88,0.00,8,0.0000,234262634.12,2.5014,0.6487,1.4874
2024-11-22,329305179.68,-1604.66,10,-0.0000,218028983.66,2.5104,0.6646,1.3668
2024-11-25,326566007.08,-1336.70,10,-0.0000,217500746.21,2.5014,0.6793,1.3889
2024-11-26,314186032.13,33.88,9,0.0000,209253014.75,2.5015,0.6679,1.4172
2024-11-27,322023922.31,-440.84,9,-0.0000,214468312.85,2.5015,0.6604,1.4209
2024-11-28,309439382.85,-440.84,9,-0.0000,214488878.31,2.4427,0.6723,1.4403
2024-11-29,313698119.43,-440.84,9,-0.0000,214509445.73,2.4624,0.6691,1.4318
2024-12-02,314278014.23,-440.84,9,-0.0000,214571153.93,2.4647,0.6681,1.4317
2024-12-03,316140651.91,-440.84,9,-0.0000,214591729.25,2.4732,0.6551,1.4267
2024-12-04,312417733.62,-440.84,9,-0.0000,214612306.54,2.4557,0.6511,1.4320
2024-12-05,308832813.36,-440.84,9,-0.0000,214632885.80,2.4389,0.6608,1.4384
2024-12-06,316168842.13,-440.84,9,-0.0000,214653467.03,2.4729,0.6597,1.4253
2024-12-09,310240194.50,-440.84,9,-0.0000,214715216.66,2.4449,0.6610,1.4352
2024-12-10,309091471.37,-440.84,9,-0.0000,214735805.79,2.4394,0.6615,1.4345
2024-12-11,313837226.26,-440.84,9,-0.0000,214756396.90,2.4614,0.6510,1.4263
2024-12-12,316624504.18,-290.84,9,-0.0000,214776989.97,2.4742,0.6529,1.4217
2024-12-13,306628919.13,-290.84,9,-0.0000,214797585.03,2.4275,0.6542,1.4406
2024-12-16,298553117.65,0.00,8,0.0000,199429099.35,2.4970,0.6705,1.4538
2024-12-17,295081363.31,0.00,8,0.0000,199448222.69,2.4795,0.6761,1.4599
2024-12-18,294454607.14,0.00,8,0.0000,199467347.86,2.4762,0.6752,1.4600
2024-12-19,290481895.14,0.00,8,0.0000,199486474.86,2.4561,0.6763,1.4683
2024-12-20,290075441.30,0.00,8,0.0000,199505603.70,2.4540,0.6711,1.4711
2024-12-23,286826980.27,0.00,8,0.0000,199562995.73,2.4373,0.6739,1.4778
2024-12-24,289193840.10,0.00,8,0.0000,199582131.90,2.4490,0.6681,1.4733
2024-12-25,287734258.08,0.00,8,0.0000,199601269.92,2.4415,0.6773,1.4741
2024-12-26,286038590.23,0.00,8,0.0000,199620409.77,2.4329,0.6761,1.4783
2024-12-27,286873239.55,0.00,8,0.0000,199639551.45,2.4370,0.6748,1.4768
2024-12-30,292070429.00,0.00,8,0.0000,199696982.00,2.4626,0.6729,1.4656
2024-12-31,279190569.97,0.00,8,0.0000,199716131.03,2.3979,0.6906,1.4904
2025-01-02,270864188.86,0.00,7,0.0000,185252817.14,2.4621,0.6987,1.5087
2025-01-03,270564204.89,0.00,7,0.0000,185270581.11,2.4604,0.7137,1.5090
