security_code,security_name,before_commit,after_commit,old_v,new_v,change_pct,direction,old_report_date,new_report_date,old_available_at,new_available_at,same_report_and_available_at
688300,联瑞新材,318d5ed0^,318d5ed0,12.8704,12.9395,0.53689085,higher,2026-06-30,2026-06-30,2026-08-15,2026-08-15,True
688301,奕瑞科技,318d5ed0^,318d5ed0,31.3924,31.3924,0.0,unchanged,2026-06-30,2026-06-30,2026-08-14,2026-08-14,True
688516,奥特维,318d5ed0^,318d5ed0,39.6583,39.451,-0.5227153,lower,2026-06-30,2026-06-30,2026-08-25,2026-08-25,True
688617,惠泰医疗,318d5ed0^,318d5ed0,81.3807,81.2327,-0.1818613,lower,2026-06-30,2026-06-30,2026-08-20,2026-08-20,True
688692,达梦数据,318d5ed0^,318d5ed0,64.8773,63.4939,-2.13233288,lower,2026-06-30,2026-06-30,2026-08-26,2026-08-26,True
688708,佳驰科技,318d5ed0^,318d5ed0,22.6019,20.7644,-8.12984749,lower,2026-06-30,2026-06-30,2026-08-27,2026-08-27,True
688777,中控技术,318d5ed0^,318d5ed0,18.9312,18.9312,0.0,unchanged,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
688981,中芯国际,318d5ed0^,318d5ed0,14.2337,14.2337,0.0,unchanged,2024-09-30,2024-09-30,2024-10-31,2024-10-31,True
920394,民士达,318d5ed0^,318d5ed0,12.141,11.772,-3.03928836,lower,2026-06-30,2026-06-30,2026-08-20,2026-08-20,True
920599,同力股份,318d5ed0^,318d5ed0,23.5545,22.1494,-5.96531448,lower,2026-06-30,2026-06-30,2026-08-25,2026-08-25,True
