security_code,security_name,entry_date,exit_date,holding_days,buys,sells,invested,proceeds,dividends,return_pct,max_drawdown_in_cycle,max_money_drawdown,entry_stop,entry_stop_ma,entry_pv_ratio,entry_upside,entry_intrinsic_value,entry_band_low,entry_band_high,exit_reason
000338,潍柴动力,2021-12-15,2022-01-21,37,5,2,6158400.00,5692637.00,0.00,-0.075631,0.144958,0.144885,16.5617,60,0.5680,0.7726,30.8613,28.8337,32.8889,跌破建仓日MA60止损
600585,,2021-12-27,2022-01-14,18,1,1,1891944.00,1781136.00,0.00,-0.058568,0.111465,0.111465,39.1018,60,0.3318,2.0349,125.9165,117.6438,134.1892,跌破建仓日MA60止损
600585,,2022-01-20,2022-01-28,8,2,1,5890647.00,5509005.00,0.00,-0.064788,0.064424,0.064424,39.4043,60,0.3410,1.9509,125.9165,117.6438,134.1892,跌破建仓日MA60止损
601988,,2022-01-20,2022-03-15,54,6,1,1887.00,1818.00,0.00,-0.036566,0.053125,0.057707,3.0688,60,0.7539,0.3222,4.1253,3.8543,4.3963,跌破建仓日MA60止损
600585,,2022-02-08,2022-03-08,28,8,1,6660672.00,6119100.00,0.00,-0.081309,0.115245,0.114981,39.8235,60,0.3349,2.0002,125.9165,117.6438,134.1892,跌破建仓日MA60止损
601169,,2022-02-08,2022-03-08,28,8,1,403569.00,386260.00,0.00,-0.042890,0.049145,0.049032,4.4685,60,0.7159,0.3728,6.3834,5.9640,6.8028,跌破建仓日MA60止损
601288,农业银行,2022-04-14,2022-06-06,53,1,1,307.00,299.00,0.00,-0.026059,0.032362,0.032362,3.0063,60,0.7108,0.4069,4.3193,4.0355,4.6031,跌破建仓日MA60止损
601825,,2022-06-14,2022-08-03,50,3,1,3809927.00,3678588.00,46830.00,-0.034473,0.045669,0.048992,6.0738,60,0.5488,0.8027,11.8079,11.0321,12.5837,跌破建仓日MA60止损
601398,工商银行,2022-07-12,2022-07-13,1,1,1,451.00,442.00,0.00,-0.019956,0.000000,0.000000,4.4221,60,0.7873,0.3491,6.0844,5.6847,6.4841,跌破建仓日MA60止损
601288,农业银行,2022-08-09,2022-10-27,79,13,1,28009378.00,27553400.00,0.00,-0.016279,0.027778,0.033522,2.8162,60,0.6531,0.5311,4.3482,4.0625,4.6339,跌破建仓日MA60止损
