security_code,security_name,report_date,legacy_wc,dedup_wc,operating_wc,financing_receivables,receivable_basis,payable_basis
603855,华荣股份,2024-12-31,2119550915.4700007,1365939136.71,1572873809.96,206934673.25,aggregate,aggregate
603855,华荣股份,2023-12-31,2275809723.73,1381584692.5400004,1558578494.8000004,176993802.26,aggregate,aggregate
603855,华荣股份,2022-12-31,2006380473.03,1274859225.0599995,1561487605.4499993,286628380.39,aggregate,aggregate
603855,华荣股份,2021-12-31,1117535288.6799998,854297569.0299997,1080927284.5799997,226629715.55,aggregate,aggregate
603855,华荣股份,2020-12-31,1412273293.42,846463808.23,1070956385.1600001,224492576.93,aggregate,aggregate
920599,同力股份,2025-12-31,2140835268.3100004,1605934848.8500004,1622365740.9300003,16430892.08,aggregate,aggregate
920599,同力股份,2024-12-31,2014730287.409999,1461661384.15,1572495865.8500001,110834481.7,aggregate,aggregate
920599,同力股份,2023-12-31,3347869505.38,1912240425.32,2000142241.1299999,87901815.81,aggregate,aggregate
920599,同力股份,2022-12-31,2483773978.450001,1623544822.4000003,1729357405.8700004,105812583.47,aggregate,aggregate
920599,同力股份,2021-12-31,1426863210.8400002,972722827.8199999,1133288700.44,160565872.62,aggregate,aggregate
920599,同力股份,2020-12-31,1600089337.9299994,886722799.1899999,933476660.4399999,46753861.25,aggregate,aggregate
000333,美的集团,2025-12-31,-162128995000.0,-77023483000.0,-62088139000.0,14935344000.0,aggregate,aggregate
000333,美的集团,2024-12-31,-146597775000.0,-70341076000.0,-52694627000.0,17646449000.0,aggregate,aggregate
000333,美的集团,2023-12-31,-113257978000.0,-57426604000.0,-44096596000.0,13330008000.0,aggregate,aggregate
000333,美的集团,2022-12-31,-98775614000.0,-41966070000.0,-28439530000.0,13526540000.0,aggregate,aggregate
000333,美的集团,2021-12-31,-121383732000.0,-52069520000.0,-41795968000.0,10273552000.0,aggregate,aggregate
000333,美的集团,2020-12-31,-101831369000.0,-47934042000.0,-34032186000.0,13901856000.0,aggregate,aggregate
000338,潍柴动力,2025-12-31,-123120930900.93997,-53947995448.36001,-38426385225.86001,15521610222.5,aggregate,aggregate
000338,潍柴动力,2024-12-31,-90575408623.99998,-37184412730.63002,-30002309336.22002,7182103394.41,aggregate,aggregate
000338,潍柴动力,2023-12-31,-93046971351.82002,-37750521551.28,-29612747995.199997,8137773556.08,aggregate,aggregate
000338,潍柴动力,2022-12-31,-55124675597.69,-18560957443.659996,-11588740436.629997,6972217007.03,aggregate,aggregate
000338,潍柴动力,2021-12-31,-81153344785.54,-32154206868.130005,-25190709735.390007,6963497132.74,aggregate,aggregate
000338,潍柴动力,2020-12-31,-56906442986.94998,-23198126485.829994,-13717258652.359995,9480867833.47,aggregate,aggregate
000423,东阿阿胶,2025-12-31,-915395106.2599998,-728087440.26,-460480475.81,267606964.45,aggregate,aggregate
000423,东阿阿胶,2024-12-31,-342293182.18000007,-318461126.08000004,85936042.05999994,404397168.14,aggregate,aggregate
000423,东阿阿胶,2023-12-31,90580383.91999984,-72828205.09999996,571471825.45,644300030.55,aggregate,aggregate
000423,东阿阿胶,2022-12-31,850862745.5099998,537886615.02,1187073073.22,649186458.2,aggregate,aggregate
000423,东阿阿胶,2021-12-31,1112992532.8100002,1045500205.18,1905892274.42,860392069.24,aggregate,aggregate
000423,东阿阿胶,2020-12-31,2659698605.3999996,2382301479.6299996,4190290645.5099998,1807989165.88,aggregate,aggregate
