security_code,security_name,first_sig,n_sig,peak_revenue
002463,沪电股份,2010,11,189.5
002008,大族激光,2010,16,187.6
002228,合兴包装,2010,12,175.5
600866,星湖科技,2010,5,174.9
600810,神马股份,2010,12,174.5
600499,科达制造,2010,12,173.9
002185,华天科技,2010,11,172.1
600298,安琪酵母,2010,14,167.3
002085,万丰奥威,2010,16,163.8
002506,协鑫集成,2010,6,162.4
002353,杰瑞股份,2010,10,162.2
600703,三安光电,2010,15,161.1
002426,胜利精密,2010,3,157.6
000729,燕京啤酒,2010,16,153.3
002310,东方新能,2010,10,152.3
002430,杭氧股份,2010,11,150.8
600094,大名城,2010,12,148.4
601678,滨化股份,2010,12,148.4
002444,巨星科技,2010,15,148.0
002497,雅化集团,2010,11,144.6
002482,广田集团,2010,10,144.0
000572,海马汽车,2010,6,142.4
000620,盈新发展,2010,10,140.0
600323,瀚蓝环境,2010,16,139.4
300070,碧水源,2010,10,137.7
000581,威孚高科,2010,16,136.8
600373,中文传媒,2010,15,133.1
002011,盾安环境,2010,8,130.3
002375,亚厦股份,2010,13,129.2
600403,大有能源,2010,7,128.1
601880,辽港股份,2010,8,128.1
601777,千里科技,2010,9,126.0
002441,众业达,2010,11,125.6
002115,三维通信,2010,4,124.9
600812,华北制药,2010,9,124.4
600815,厦工股份,2010,3,119.9
600517,国网英大,2010,13,119.5
600516,方大炭素,2010,9,116.5
600765,中航重机,2010,7,115.8
300080,易成新能,2010,3,112.5
002508,老板电器,2010,16,112.1
000893,亚钾国际,2010,9,111.5
000589,贵州轮胎,2010,6,109.5
601369,陕鼓动力,2010,12,107.7
002124,天邦食品,2010,3,107.6
000042,中洲控股,2010,9,107.0
600210,紫江企业,2010,9,106.4
600236,桂冠电力,2010,16,106.2
002368,太极股份,2010,13,105.0
002498,汉缆股份,2010,8,104.1
002068,黑猫股份,2010,3,101.3
600748,上实发展,2010,8,100.6
002511,中顺洁柔,2010,6,98.0
002274,华昌化工,2010,5,94.1
601101,昊华能源,2010,13,92.9
000533,顺钠股份,2010,4,82.7
601126,四方股份,2010,13,81.9
600375,汉马科技,2010,4,80.9
600586,金晶科技,2010,2,79.7
601158,重庆水务,2010,14,77.8
002443,金洲管道,2010,9,70.4
002372,伟星新材,2010,16,69.5
300082,奥克股份,2010,2,67.2
000631,顺发恒能,2010,10,66.8
000885,城发环境,2010,14,66.1
002440,闰土股份,2010,13,65.1
002206,海利得,2010,10,59.0
002478,常宝股份,2010,6,58.9
002461,珠江啤酒,2010,15,58.8
600784,鲁银投资,2010,7,58.2
600337,ST美克,2010,12,55.9
002437,誉衡药业,2010,14,54.8
600118,中国卫星,2010,6,54.5
600559,老白干酒,2010,16,53.6
000828,东莞控股,2010,16,53.2
600724,宁波富达,2010,7,52.9
600633,浙数文化,2010,16,51.9
600862,中航高科,2010,6,50.7
002367,康力电梯,2010,12,50.4
002431,ST棕榈,2010,5,50.1
600182,S佳通,2010,11,48.4
600173,卧龙新能,2010,7,47.6
000006,深振业A,2010,11,46.1
002334,英威腾,2010,8,44.7
002471,中超控股,2010,3,44.5
600195,中牧股份,2010,9,44.3
000531,穗恒运A,2010,6,43.9
002332,仙琚制药,2010,13,43.8
002404,嘉欣丝绸,2010,2,43.0
600684,珠江股份,2010,9,42.4
600185,珠免集团,2010,9,41.9
002394,联发股份,2010,12,41.7
002454,松芝股份,2010,6,41.7
000637,茂化实华,2010,2,41.4
002465,海格通信,2010,7,41.2
600537,*ST亿晶,2010,2,40.7
000799,酒鬼酒,2010,13,40.5
002320,海峡股份,2010,6,39.3
000911,*ST广糖,2010,1,38.8
600993,马应龙,2010,13,38.7
002399,海普瑞,2010,2,38.5
002424,ST百灵,2010,12,38.3
002172,澳洋健康,2010,1,38.1
002153,石基信息,2010,10,36.6
000529,广弘控股,2010,6,36.4
002029,七匹狼,2010,16,36.2
600628,新世界,2010,7,35.5
002108,沧州明珠,2010,8,35.2
002489,浙江永强,2010,4,33.0
000848,承德露露,2010,16,32.9
600017,日照港,2010,1,31.6
002405,四维图新,2010,11,30.6
600351,亚宝药业,2010,16,30.4
002501,*ST利源,2010,4,30.3
002344,海宁皮城,2010,11,29.3
000603,盛达资源,2010,15,29.0
002255,海陆重工,2010,3,27.9
002490,山东墨龙,2010,1,27.0
600641,先导基电,2010,10,26.8
002397,梦洁股份,2010,12,26.0
000915,华特达因,2010,16,24.8
002287,奇正藏药,2010,16,24.2
300111,向日葵,2010,1,23.3
600199,金种子酒,2010,9,22.9
002442,龙星科技,2010,2,20.4
600831,广电网络,2010,4,20.3
002378,章源钨业,2010,3,19.4
002480,新筑股份,2010,2,19.1
600791,京能置业,2010,7,18.9
002420,毅昌科技,2010,1,18.6
002483,润邦股份,2010,2,17.8
601890,亚星锚链,2010,1,17.8
002413,雷科防务,2010,7,17.4
002165,红宝丽,2010,2,17.0
000809,和展能源,2010,4,16.9
002455,百川股份,2010,1,16.9
002343,慈文传媒,2010,3,16.7
002393,力生制药,2010,16,16.2
300039,上海凯宝,2010,16,16.2
002362,汉王科技,2010,5,16.1
600354,敦煌种业,2010,1,15.9
600620,天宸股份,2010,1,15.4
300147,*ST香雪,2010,6,15.2
002355,兴民智通,2010,2,15.1
002500,山西证券,2010,1,15.0
002283,天润工业,2010,2,14.6
002342,巨力索具,2010,1,14.5
002521,齐峰新材,2010,1,13.5
002526,山东矿机,2010,1,13.2
300094,国联水产,2010,1,12.2
600721,百花医药,2010,2,12.1
601007,金陵饭店,2010,10,12.1
002485,ST雪发,2010,3,11.8
002054,德美化工,2010,2,11.0
002418,康盛股份,2010,1,11.0
002290,禾盛新材,2010,1,10.6
300135,宝利国际,2010,1,10.5
002109,ST兴化,2010,1,10.3
002406,远东传动,2010,2,10.3
300077,国民技术,2010,3,10.2
002527,新时达,2010,4,10.0
300134,大富科技,2010,1,8.6
600159,大龙地产,2010,1,8.2
000978,桂林旅游,2010,6,6.1
000886,海南高速,2010,3,5.9
000573,粤宏远A,2010,1,5.3
600638,新黄浦,2010,1,5.3
600505,西昌电力,2010,1,5.1
002594,比亚迪,2011,15,8039.6
601288,农业银行,2011,15,7253.1
601669,中国电建,2011,15,6462.4
601633,长城汽车,2011,15,2228.2
601336,新华保险,2011,15,2223.8
000725,京东方A,2011,15,2210.4
600039,四川路桥,2011,15,1351.5
601992,金隅集团,2011,13,1236.3
601233,桐昆股份,2011,15,1013.1
600502,安徽建工,2011,15,965.0
300274,阳光电源,2011,13,891.8
300058,蓝色光标,2011,13,686.9
300207,欣旺达,2011,13,632.5
002210,飞马国际,2011,7,613.8
600098,广州发展,2011,15,508.8
002155,湖南黄金,2011,14,501.8
600623,华谊集团,2011,15,496.9
002648,卫星化学,2011,12,460.7
601118,海南橡胶,2011,11,420.0
002371,北方华创,2011,8,393.5
600575,淮河能源,2011,11,390.8
002608,江苏国信,2011,10,369.3
601058,赛轮轮胎,2011,13,367.9
600157,永泰能源,2011,15,355.6
600578,京能电力,2011,14,354.3
601677,明泰铝业,2011,13,351.4
600219,南山铝业,2011,15,349.5
002589,瑞康医药,2011,10,339.2
600597,光明乳业,2011,14,292.1
600873,梅花生物,2011,15,279.4
002230,科大讯飞,2011,15,271.1
002567,唐人神,2011,11,265.4
601216,君正集团,2011,15,252.4
000062,深圳华强,2011,14,249.1
002541,鸿路钢构,2011,11,235.4
002266,浙富控股,2011,6,232.1
600259,中稀有色,2011,6,228.6
601789,宁波建工,2011,15,226.7
300072,海新能科,2011,9,224.8
601886,江河集团,2011,14,224.1
002539,云图控股,2011,9,217.7
600458,时代新材,2011,13,214.7
601137,博威合金,2011,7,207.5
000887,中鼎股份,2011,15,198.0
600881,亚泰集团,2011,8,195.0
600299,安迪苏,2011,13,194.6
002563,森马服饰,2011,15,193.4
002556,辉隆股份,2011,13,190.8
002217,ST合力泰,2011,9,186.3
600392,盛和资源,2011,7,178.8
600397,江钨装备,2011,4,174.4
601311,骆驼股份,2011,14,163.0
600580,卧龙电驱,2011,12,162.5
601636,旗滨集团,2011,12,157.4
601799,星宇股份,2011,14,152.6
601567,三星电气,2011,14,146.0
000789,万年青,2011,14,142.0
600138,中青旅,2011,10,140.5
600420,国药现代,2011,13,139.4
601928,凤凰传媒,2011,15,136.5
601098,中南传媒,2011,15,136.1
000683,博源化工,2011,10,132.6
000698,ST沈化,2011,6,132.6
