signal_date,exec_date,source_code,close,ma,ma_prev,weak_run,cross_count,hold_pv,trigger_code,trigger_pv,block_reason,next_source,shares_held
2018-10-19,2018-10-22,601225,8.3800,8.4720,8.3745,0,0,1.4388,002152,0.9865,均线未下行,,55400
2018-10-23,2018-10-24,601225,8.4800,8.5205,8.4050,0,0,1.4560,002152,1.0111,均线未下行,,55400
2019-05-16,2019-05-17,000651,56.1900,56.6490,56.6820,0,0,1.2246,601225,0.7408,均线未下行,600660,15600
2019-09-25,2019-09-26,600066,14.5000,14.7510,14.5245,0,0,0.9325,002466,0.4066,均线未下行,600309,22600
2020-01-16,2020-01-17,600016,6.3000,6.3045,6.2865,0,0,0.9888,600566,0.7685,均线未下行,,800
2020-01-17,2020-01-20,600016,6.2900,6.3040,6.2935,0,0,0.9872,600566,0.7662,均线未下行,,800
2020-05-28,2020-05-29,600176,8.7300,8.7977,8.7950,0,0,0.8691,601088,0.5861,均线未下行,600585,200
2020-06-03,2020-06-04,603156,21.8100,21.9646,21.4965,0,0,0.9347,600016,0.7338,均线未下行,,53400
2020-06-04,2020-06-05,603156,22.0100,22.0255,21.5982,0,0,0.9433,601169,0.7575,均线未下行,,53400
2020-06-09,2020-06-10,000423,34.0400,34.3650,33.4810,0,0,0.8902,600016,0.7350,均线未下行,,34200
2020-07-02,2020-07-03,000423,35.0000,35.0020,34.9565,0,0,0.9153,601088,0.5640,均线未下行,,34200
2020-08-12,2020-08-13,600309,64.4400,65.6540,62.7490,0,0,1.1535,600897,0.8180,均线未下行,,29100
2020-08-13,2020-08-14,600176,12.6900,12.7335,12.0580,0,0,1.2634,600897,0.8091,均线未下行,,200
2020-09-14,2020-09-15,600176,14.5000,14.5865,14.2125,0,0,1.4270,601916,0.9223,均线未下行,000423,200
2020-11-13,2020-11-16,601818,4.0000,4.0370,4.0040,0,0,1.0213,002466,0.4850,均线未下行,,2200
2020-11-27,2020-11-30,000423,41.8300,42.0020,41.0195,0,0,1.0997,600897,0.8038,均线未下行,,1900
2020-11-30,2020-12-01,000423,41.7100,42.1200,41.2590,0,0,1.0966,600897,0.7994,均线未下行,,1900
2020-12-01,2020-12-02,000423,41.9500,42.2250,41.5035,0,0,1.1029,600897,0.8069,均线未下行,,1900
2020-12-07,2020-12-08,601818,4.1900,4.2615,4.1910,0,0,1.0849,600000,0.9226,均线未下行,,2400
2020-12-09,2020-12-10,000423,42.2500,42.8415,42.3855,0,0,1.1108,600000,0.9152,均线未下行,,1900
2021-03-05,2021-03-08,601818,4.1400,4.1455,4.1405,0,0,1.0784,600897,0.7804,均线未下行,,2400
2021-03-08,2021-03-09,601818,4.1200,4.1460,4.1375,0,0,1.0731,600897,0.7694,均线未下行,,2400
2021-03-09,2021-03-10,601818,4.0700,4.1500,4.1340,0,0,1.0601,600897,0.7654,均线未下行,,2400
2022-04-20,2022-04-21,601088,29.5600,29.6435,28.1830,0,0,0.9972,601398,0.7738,均线未下行,,529700
2022-04-21,2022-04-22,601088,29.2200,29.7605,28.5905,0,0,0.9857,601398,0.7803,均线未下行,,529700
2022-04-22,2022-04-25,601088,29.6900,29.9175,28.9020,0,0,1.0016,601398,0.7901,均线未下行,,529700
2022-07-26,2022-07-27,600016,3.6300,3.6705,3.6887,0,0,0.8631,601288,0.7004,均线未下行,,66000
2023-01-03,2023-01-04,603156,21.5000,21.7575,21.3720,0,0,1.0141,601398,0.7466,均线未下行,,15500
2023-01-04,2023-01-05,603156,21.5300,21.8080,21.4625,0,0,1.0156,601077,0.7204,均线未下行,,15500
2023-01-05,2023-01-06,603156,21.6700,21.8145,21.5470,0,0,1.0222,601077,0.7164,均线未下行,,15500
2023-01-06,2023-01-09,603156,21.5000,21.7620,21.6170,0,0,1.0141,600176,0.6780,均线未下行,,15500
2023-01-09,2023-01-10,603156,21.6200,21.7605,21.7025,0,0,1.0198,600176,0.6901,均线未下行,,15500
2023-01-10,2023-01-11,603156,21.4800,21.7265,21.7575,0,0,1.0132,600176,0.6911,均线未下行,,15500
2023-07-26,2023-07-27,000338,12.5600,12.6735,12.5625,0,0,0.7577,000933,0.5455,均线未下行,,115000
2023-07-27,2023-07-28,000338,12.5200,12.6765,12.5865,0,0,0.7553,000933,0.5437,均线未下行,,115000
2023-08-03,2023-08-04,601088,27.8900,28.2225,28.3135,0,0,0.7118,000933,0.5545,均线未下行,,14600
2023-08-07,2023-08-08,601169,4.6000,4.6050,4.5355,0,0,0.7252,000792,0.4484,均线未下行,,2517000
2023-08-08,2023-08-09,601328,5.6100,5.6160,5.5498,0,0,0.7351,000792,0.4472,均线未下行,,3695800
2023-08-09,2023-08-10,000338,12.7800,12.7855,12.7380,0,0,0.7709,000792,0.4474,均线未下行,,115000
2023-08-10,2023-08-11,000338,12.7900,12.7920,12.7505,0,0,0.7715,000792,0.4484,均线未下行,,115000
2023-08-23,2023-08-24,601825,5.7800,5.8405,5.8035,0,0,0.8260,601225,0.6570,均线未下行,,554400
2024-01-18,2024-01-19,601988,4.0100,4.0390,4.0215,0,0,0.8249,601166,0.6062,均线未下行,,5442900
2024-01-19,2024-01-22,601988,3.9700,4.0385,4.0240,0,0,0.8167,601166,0.6086,均线未下行,,5442900
2024-01-22,2024-01-23,601988,4.0000,4.0390,4.0310,0,0,0.8229,601166,0.6106,均线未下行,,5442900
2024-01-23,2024-01-24,601988,3.9800,4.0370,4.0350,0,0,0.8188,601166,0.6066,均线未下行,,5442900
2024-02-02,2024-02-05,601825,6.2000,6.2845,6.1590,0,0,0.8409,601166,0.6134,均线未下行,,554400
2024-02-06,2024-02-07,601825,6.2400,6.3015,6.2275,0,0,0.8463,601166,0.6216,均线未下行,,168600
2024-03-12,2024-03-13,601288,4.1400,4.1800,4.1015,0,0,0.8448,601166,0.6294,均线未下行,,900
2024-03-28,2024-03-29,601988,4.3800,4.4350,4.4525,0,0,0.8560,000001,0.6328,均线未下行,,2542500
2024-03-29,2024-04-01,601988,4.4000,4.4310,4.4420,0,0,0.7985,000001,0.6277,均线未下行,,2542500
2024-04-24,2024-04-25,002948,3.3000,3.3110,3.2810,0,0,0.8848,600036,0.7279,均线未下行,,100
2024-04-26,2024-04-29,002948,3.2900,3.3180,3.2975,0,0,0.8822,601229,0.6640,均线未下行,,100
2024-07-18,2024-07-19,600938,32.9800,33.0727,32.9675,0,0,0.8861,601838,0.7329,均线未下行,,187100
2024-08-29,2024-08-30,601288,4.7100,4.7520,4.6905,0,0,0.8831,600036,0.7229,均线未下行,,1100
2024-10-25,2024-10-28,601288,4.8200,4.8440,4.7550,0,0,0.9042,002466,0.3905,均线未下行,,1100
2024-10-28,2024-10-29,601988,4.8800,4.9710,4.8975,0,0,0.8942,002466,0.3922,均线未下行,600938,1964600
2024-10-29,2024-10-30,601288,4.7900,4.8505,4.7940,0,0,0.8986,002236,0.5905,均线未下行,601398,1100
2024-10-30,2024-10-31,601825,7.7700,7.7830,7.4942,0,0,0.9130,002532,0.7062,均线未下行,601988,171500
2024-11-04,2024-11-05,601825,7.8200,7.8705,7.6846,0,0,0.9179,000933,0.3676,均线未下行,000651,171500
2024-11-05,2024-11-06,601825,7.8500,7.8820,7.7385,0,0,0.9214,002236,0.6214,均线未下行,,171500
2024-11-06,2024-11-07,601988,4.8900,4.9550,4.9675,0,0,0.8951,002236,0.6160,均线未下行,,1270500
2024-11-07,2024-11-08,601988,4.9200,4.9505,4.9590,0,0,0.9006,002236,0.6235,均线未下行,,1270500
2024-11-08,2024-11-11,601825,7.9300,7.9515,7.8510,0,0,0.9308,002236,0.6214,均线未下行,,171500
2024-11-11,2024-11-12,601825,7.7900,7.9355,7.8705,0,0,0.9143,002236,0.6537,均线未下行,601988,171500
2024-11-13,2024-11-14,600919,8.9700,9.0035,8.9225,0,0,0.8258,002236,0.6494,均线未下行,,64900
2024-11-14,2024-11-15,601818,3.4600,3.4630,3.4750,0,0,0.8654,002236,0.6282,均线未下行,,100
2024-11-15,2024-11-18,601818,3.4500,3.4600,3.4750,0,0,0.8629,002236,0.6361,均线未下行,,100
2024-11-20,2024-11-21,600919,9.0200,9.0205,9.0035,0,0,0.8304,002236,0.6167,均线未下行,,64900
2025-01-22,2025-01-23,600919,9.4500,9.5131,9.3735,0,0,0.7867,000933,0.3605,均线未下行,000651,64900
2025-02-24,2025-02-25,601818,3.7700,3.7781,3.7186,0,0,0.8398,000933,0.3523,均线未下行,600938,300
2025-03-10,2025-03-11,601818,3.7400,3.7830,3.7815,0,0,0.8540,600970,0.6130,均线未下行,,400
2025-03-11,2025-03-12,601818,3.7500,3.7830,3.7760,0,0,0.8563,600970,0.6117,均线未下行,,400
2025-03-12,2025-03-13,601818,3.7800,3.7840,3.7795,0,0,0.8631,600970,0.6104,均线未下行,,400
2025-03-17,2025-03-18,601229,9.3500,9.3580,9.3020,0,0,0.8032,600970,0.6193,均线未下行,,3619600
2025-03-18,2025-03-19,601229,9.3100,9.3570,9.3165,0,0,0.7997,600970,0.6218,均线未下行,,3619600
2025-03-21,2025-03-24,601229,9.2100,9.3475,9.3490,0,0,0.7911,000661,0.6199,均线未下行,,3619600
2025-03-24,2025-03-25,601229,9.3100,9.3575,9.3580,0,0,0.7997,000661,0.6105,均线未下行,,3619600
2025-03-26,2025-03-27,601818,3.8100,3.8160,3.7985,0,0,0.8700,600426,0.6514,均线未下行,,400
2025-04-01,2025-04-02,000338,15.9600,16.2525,16.2035,0,0,0.8136,000661,0.6248,均线未下行,,170500
2025-04-02,2025-04-03,000338,15.9800,16.2475,16.2045,0,0,0.8147,000661,0.6214,均线未下行,,170500
2025-06-27,2025-06-30,601998,8.4600,8.4700,8.2350,0,0,0.8756,000792,0.5830,均线未下行,,17200
2025-06-30,2025-07-01,002807,4.7500,4.7755,4.6825,0,0,0.8989,000792,0.5837,均线未下行,,200
2025-07-02,2025-07-03,601998,8.5100,8.5230,8.3790,0,0,0.8750,000792,0.5926,均线未下行,,17200
2025-07-04,2025-07-07,000338,15.2800,15.4060,15.3410,0,0,0.7458,000792,0.5898,均线未下行,,218000
2025-07-11,2025-07-14,601998,8.5100,8.5185,8.5590,0,0,0.8907,688516,0.5312,均线未下行,,17200
2025-07-15,2025-07-16,002807,4.9000,4.9145,4.8500,0,0,0.9273,000792,0.5946,均线未下行,,200
2025-07-16,2025-07-17,002807,4.8700,4.9165,4.8670,0,0,0.9216,688516,0.5201,均线未下行,600919,200
2025-07-17,2025-07-18,002807,4.9000,4.9175,4.8820,0,0,0.9273,688516,0.5259,均线未下行,,200
2025-07-18,2025-07-21,002807,4.8900,4.9160,4.8955,0,0,0.9254,688516,0.5224,均线未下行,,200
